"Women_Status","Men_Status","Count","overall_pct","row_pct","col_pct","cell_text"
"No diabetes","No diabetes",2863,58.5002043318349,75.7607832759989,82.199253517083,"2863 (58.5%)
(75.8%)
(82.2%)"
"Diabetes","No diabetes",620,12.6685737637924,55.6053811659193,17.800746482917,"620 (12.7%)
(55.6%)
(17.8%)"
"No diabetes","Diabetes",916,18.7167960768288,24.2392167240011,64.9184975194897,"916 (18.7%)
(24.2%)
(64.9%)"
"Diabetes","Diabetes",495,10.1144258275439,44.3946188340807,35.0815024805103,"495 (10.1%)
(44.4%)
(35.1%)"
