"Individual's status at baseline","Individuals with following partner's status at baseline","No diabetes, %","Diabetes, %"
"Women without diabetes at baseline (n=3083)","No diabetes (n=2356)","78.5","21.5"
"Women without diabetes at baseline (n=3083)","Diabetes (n=727)","75.4","24.6"
"Men without diabetes at baseline (n=2888)","No diabetes (n=2356)","77.5","22.5"
"Men without diabetes at baseline (n=2888)","Diabetes (n=532)","71.1","28.9"
