"model","n","events","hr_spouse","hr_lcl","hr_ucl","p_value"
"Female: spouse status",3083,686,1.10916362147155,0.935282931790301,1.315370886584,0.233689993090252
"Female: spouse status + age",3083,686,0.962978737741537,0.808023809096627,1.14764941193879,0.673432882540125
"Female: spouse status + Model 1",3083,686,0.970652887737328,0.813258831263746,1.15850820458814,0.741413862292261
"Female: spouse status + Model 2",3083,686,0.894001880717164,0.744910513704224,1.07293339001411,0.228702825840643
"Male: spouse status",2888,684,1.33134556890879,1.11215193423976,1.59374000015987,0.00182031320349234
"Male: spouse status + age",2888,684,1.21003575295964,1.00593180965451,1.45555246328624,0.0431028526477565
"Male: spouse status + Model 1",2888,684,1.18295758212253,0.982028505640251,1.42499798433939,0.0768897321966817
"Male: spouse status + Model 2",2888,684,1.07391270945902,0.880794504698386,1.30937295973769,0.480799048865477
