"sex","model","or","low","high"
"Women","Age adjusted",1.05604371664161,0.398158461858287,2.8009660431508
"Women","Model 1",0.920891571515881,0.343814064579259,2.46656950327723
"Women","Model 2",1.02236507708383,0.369821314083745,2.82631181880428
"Men","Age adjusted",1.35977425617887,0.477912771725019,3.86887762194114
"Men","Model 1",1.32404096994014,0.46148382980823,3.79879938763731
"Men","Model 2",1.41001743648504,0.480396532128961,4.13855854117228
