"Individual's status at baseline","Individuals with following partner's status at baseline","Age adjusted HR (95% CI)","Model 1 adjusted HR (95% CI)","Model 2 adjusted HR (95% CI)"
"Women without diabetes at baseline (n=1015)","No diabetes (n=966)","1.00","1.00","1.00"
"Women without diabetes at baseline (n=1015)","Diabetes (n=18)","1.25 (0.55 - 2.82)","1.09 (0.48 - 2.48)","1.12 (0.50 - 2.54)"
"Men without diabetes at baseline (n=1014)","No diabetes (n=966)","1.00","1.00","1.00"
"Men without diabetes at baseline (n=1014)","Diabetes (n=19)","1.11 (0.45 - 2.72)","1.10 (0.45 - 2.72)","1.12 (0.45 - 2.79)"
